"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
2,8,0.992412705581507,0.124051588197688,-1627.20280276773,-1593.48593798035,FALSE,FALSE,FALSE,"1,4,8,9,12,16,17,20",NA,NA,NA,"1,4,16"
2,9,0.99242615074074,0.110269572304527,-1626.08961995276,-1588.15814706696,FALSE,FALSE,FALSE,"1,4,8,9,12,16,17,18,20",NA,NA,NA,"1,4,16"
2,10,0.992434733809147,0.0992434733809147,-1624.65656650618,-1582.51048552196,FALSE,FALSE,FALSE,"1,2,4,8,9,12,16,17,18,20",NA,NA,NA,"1,4,16"
2,11,0.992441151696851,0.0902219228815319,-1623.08091452945,-1576.7202254468,FALSE,FALSE,FALSE,"1,2,4,5,8,9,12,16,17,18,20",NA,NA,NA,"1,4,16"
2,12,0.992447572626368,0.0827039643855306,-1621.50582438091,-1570.93052719985,FALSE,FALSE,FALSE,"1,2,4,5,6,8,9,12,16,17,18,20",NA,NA,NA,"1,4,16"
2,13,0.99245208113223,0.0763424677794023,-1619.80439409076,-1565.01448881127,FALSE,FALSE,FALSE,"1,2,4,5,6,8,9,12,13,16,17,18,20",NA,NA,NA,"1,4,16"
2,14,0.992456869191698,0.0708897763708355,-1618.12167219477,-1559.11715881686,FALSE,FALSE,FALSE,"1,2,4,5,6,8,9,12,13,15,16,17,18,20",NA,NA,NA,"1,4,16"
2,15,0.99245962570744,0.0661639750471627,-1616.30442254057,-1553.08530106423,FALSE,FALSE,FALSE,"1,2,4,5,6,8,9,11,12,13,15,16,17,18,20",NA,NA,NA,"1,4,16"
2,16,0.992460751326214,0.0620287969578883,-1614.37906756175,-1546.945337987,FALSE,FALSE,FALSE,"1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,20",NA,NA,NA,"1,4,16"
2,17,0.992461897674791,0.0583801116279289,-1612.45509872796,-1540.80676105479,FALSE,FALSE,FALSE,"1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20",NA,NA,NA,"1,4,16"
2,18,0.99246303912103,0.0551368355067239,-1610.53081623742,-1534.66787046582,FALSE,FALSE,FALSE,"1,2,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20",NA,NA,NA,"1,4,16"
2,19,0.992463464927039,0.0522349192066862,-1608.5590648939,-1528.48151102388,FALSE,FALSE,FALSE,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20",NA,NA,NA,"1,4,16"
2,20,0.992463469864889,0.0496231734932444,-1606.55939248816,-1522.26723051972,FALSE,FALSE,FALSE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",NA,NA,NA,"1,4,16"
3,1,0.436351422134109,0.436351422134109,305.42494420667,309.639552305092,FALSE,FALSE,FALSE,"1",NA,NA,NA,"1,9,17"
3,2,0.852296575222902,0.426148287611451,-362.187351669066,-353.758135472222,FALSE,FALSE,FALSE,"1,17",NA,NA,NA,"1,9,17"
3,3,0.987992875648712,0.329330958549571,-1615.04045521649,-1602.39663092122,TRUE,FALSE,FALSE,"1,9,17","1,9,17",NA,NA,"1,9,17"
3,4,0.988176706760788,0.247044176690197,-1620.75474549178,-1603.8963130981,FALSE,FALSE,TRUE,"1,2,9,17",NA,NA,"1,2,9,17","1,9,17"
3,5,0.988260723458642,0.197652144691728,-1622.32044544323,-1601.24740495112,FALSE,FALSE,FALSE,"1,2,7,9,17",NA,NA,NA,"1,9,17"
3,6,0.988336277442703,0.164722712907117,-1623.54884562525,-1598.26119703471,FALSE,FALSE,FALSE,"1,2,7,9,14,17",NA,NA,NA,"1,9,17"
3,7,0.988383396409183,0.141197628058455,-1623.57283062104,-1594.07057393209,FALSE,TRUE,FALSE,"1,2,4,7,9,14,17",NA,"1,2,4,7,9,14,17",NA,"1,9,17"
3,8,0.988422033154502,0.123552754144313,-1623.23859895943,-1589.52173417205,FALSE,FALSE,FALSE,"1,2,4,7,9,14,16,17",NA,NA,NA,"1,9,17"
3,9,0.988450001130528,0.109827777903392,-1622.44787045367,-1584.51639756787,FALSE,FALSE,FALSE,"1,2,4,7,9,14,16,17,19",NA,NA,NA,"1,9,17"
3,10,0.988477279101218,0.0988477279101218,-1621.63013174202,-1579.48405075779,FALSE,FALSE,FALSE,"1,2,4,7,9,14,16,17,18,19",NA,NA,NA,"1,9,17"
3,11,0.988492032579515,0.0898629120526832,-1620.27073267026,-1573.91004358762,FALSE,FALSE,FALSE,"1,2,4,7,9,11,14,16,17,18,19",NA,NA,NA,"1,9,17"
3,12,0.988500287214032,0.0823750239345027,-1618.6295100349,-1568.05421285383,FALSE,FALSE,FALSE,"1,2,4,7,9,11,13,14,16,17,18,19",NA,NA,NA,"1,9,17"
3,13,0.988508391119149,0.0760391070091653,-1616.98198674632,-1562.19208146683,FALSE,FALSE,FALSE,"1,2,4,7,9,11,13,14,15,16,17,18,19",NA,NA,NA,"1,9,17"
3,14,0.988513590280008,0.0706081135914291,-1615.20825346835,-1556.20374009044,FALSE,FALSE,FALSE,"1,2,4,6,7,9,11,13,14,15,16,17,18,19",NA,NA,NA,"1,9,17"
3,15,0.988518871484314,0.0659012580989543,-1613.43819558691,-1550.21907411057,FALSE,FALSE,FALSE,"1,2,4,6,7,9,10,11,13,14,15,16,17,18,19",NA,NA,NA,"1,9,17"
3,16,0.988524006995166,0.0617827504371979,-1611.66189571118,-1544.22816613642,FALSE,FALSE,FALSE,"1,2,4,6,7,8,9,10,11,13,14,15,16,17,18,19",NA,NA,NA,"1,9,17"
3,17,0.988527724126701,0.0581486896545119,-1609.82387444639,-1538.17553677321,FALSE,FALSE,FALSE,"1,2,4,6,7,8,9,10,11,13,14,15,16,17,18,19,20",NA,NA,NA,"1,9,17"
3,18,0.988529051695052,0.0549182806497251,-1607.88173764562,-1532.01879187402,FALSE,FALSE,FALSE,"1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20",NA,NA,NA,"1,9,17"
3,19,0.988529716418341,0.0520278798114917,-1605.91071269339,-1525.83315882337,FALSE,FALSE,FALSE,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20",NA,NA,NA,"1,9,17"
3,20,0.98853027139854,0.049426513569927,-1603.93490536574,-1519.64274339729,FALSE,FALSE,FALSE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",NA,NA,NA,"1,9,17"
